pair,camera_file,pcd_file,original_lidar_points,projected_points,minimum_depth_m,median_depth_m,average_depth_m,maximum_depth_m,status,error
pair_000001,camera_000001_2025-11-03-14-36-02-462.png,lidar_000001_2025-11-03-14-36-02-463.pcd,108421,10749,4.863616268197233,10.321995835550231,14.129263018131851,98.4851510247685,success,
pair_000002,camera_000002_2025-11-03-14-36-03-017.png,lidar_000002_2025-11-03-14-36-03-013.pcd,108754,10574,4.845714087787525,10.544645352147914,14.82111622673128,96.25394928495456,success,
pair_000003,camera_000003_2025-11-03-14-36-03-156.png,lidar_000003_2025-11-03-14-36-03-163.pcd,108664,10434,4.8405993922079595,10.536583972666454,14.783687982062107,95.57880152810516,success,
pair_000004,camera_000004_2025-11-03-14-36-03-262.png,lidar_000004_2025-11-03-14-36-03-262.pcd,108628,10480,4.841451918019274,10.484101378704398,14.771475557216041,95.20183555212466,success,
pair_000005,camera_000005_2025-11-03-14-36-04-269.png,lidar_000005_2025-11-03-14-36-04-263.pcd,106483,11300,4.713580994035765,11.244264581394386,14.409620084504558,90.80580034726923,success,
pair_000006,camera_000006_2025-11-03-14-36-04-617.png,lidar_000006_2025-11-03-14-36-04-613.pcd,106829,11292,4.755352109852909,11.5422253018758,14.361402738283036,89.08084767252602,success,
pair_000007,camera_000007_2025-11-03-14-36-04-757.png,lidar_000007_2025-11-03-14-36-04-763.pcd,108638,11262,4.768139111374639,11.133911950833356,14.225885989389516,99.93782023646843,success,
pair_000008,camera_000008_2025-11-03-14-36-05-103.png,lidar_000008_2025-11-03-14-36-05-112.pcd,111404,11177,4.757057169482235,11.040797111957541,13.949688988724397,98.06067131141823,success,
pair_000009,camera_000009_2025-11-03-14-36-05-208.png,lidar_000009_2025-11-03-14-36-05-213.pcd,111038,11065,4.746715881864843,10.925319960101552,13.834336879944212,97.35697731437921,success,
pair_000010,camera_000010_2025-11-03-14-36-05-313.png,lidar_000010_2025-11-03-14-36-05-313.pcd,111306,11082,4.734040293492962,11.153020940264216,13.853367120269617,96.84299267962821,success,
pair_000011,camera_000011_2025-11-03-14-36-06-218.png,lidar_000011_2025-11-03-14-36-06-213.pcd,110501,10797,4.724662935928168,9.646040086755916,12.501970082082037,99.29208908816618,success,
pair_000012,camera_000012_2025-11-03-14-36-06-355.png,lidar_000012_2025-11-03-14-36-06-363.pcd,109707,11131,4.763024398879813,9.45734843034573,12.476714109972301,98.42241630754225,success,
pair_000013,camera_000013_2025-11-03-14-36-06-461.png,lidar_000013_2025-11-03-14-36-06-463.pcd,107517,11015,4.760455770635898,9.434331033533127,12.33429445172407,97.78383553568422,success,
pair_000014,camera_000014_2025-11-03-14-36-07-016.png,lidar_000014_2025-11-03-14-36-07-013.pcd,101872,11393,4.714990867912538,8.614194524434245,12.73182626804323,94.4786591520282,success,
pair_000015,camera_000015_2025-11-03-14-36-07-121.png,lidar_000015_2025-11-03-14-36-07-113.pcd,101163,11350,4.7026357473171005,8.68152174635156,12.770067350094447,93.93040701429159,success,
pair_000016,camera_000016_2025-11-03-14-36-07-921.png,lidar_000016_2025-11-03-14-36-07-913.pcd,104484,10878,4.583619402327609,10.552984969866127,14.260845237544245,98.75275865184713,success,
pair_000017,camera_000017_2025-11-03-14-36-08-268.png,lidar_000017_2025-11-03-14-36-08-263.pcd,104226,10314,4.861415584427446,10.882902154791303,14.670665102585524,95.32481146232749,success,
pair_000018,camera_000018_2025-11-03-14-36-08-407.png,lidar_000018_2025-11-03-14-36-08-413.pcd,105411,10884,4.878108321341592,11.08805898298058,14.96669453359572,95.9433216149446,success,
pair_000019,camera_000019_2025-11-03-14-36-08-756.png,lidar_000019_2025-11-03-14-36-08-763.pcd,110059,10685,4.890042797052007,10.835080950163459,14.786279723750889,93.97690658739036,success,
pair_000020,camera_000020_2025-11-03-14-36-08-860.png,lidar_000020_2025-11-03-14-36-08-863.pcd,110690,10476,4.91305967304128,10.517694284721227,14.492558753074997,95.00838621193849,success,
pair_000021,camera_000021_2025-11-03-14-36-09-104.png,lidar_000021_2025-11-03-14-36-09-113.pcd,113123,10333,4.856796504981644,10.518072689341393,14.535754440245544,98.08062889545963,success,
pair_000022,camera_000022_2025-11-03-14-36-09-208.png,lidar_000022_2025-11-03-14-36-09-213.pcd,113299,10230,4.8047955146969565,10.092724858268213,14.327073211682343,97.7296533245917,success,
pair_000023,camera_000023_2025-11-03-14-36-09-312.png,lidar_000023_2025-11-03-14-36-09-313.pcd,113563,10200,4.776663926212857,9.728774830102203,14.104360895350784,96.78671367462778,success,
pair_000024,camera_000024_2025-11-03-14-36-09-417.png,lidar_000024_2025-11-03-14-36-09-413.pcd,113902,10264,4.738302938562929,9.567406813744203,13.792330943121389,95.97458274514914,success,
pair_000025,camera_000025_2025-11-03-14-36-09-523.png,lidar_000025_2025-11-03-14-36-09-513.pcd,113937,10144,4.7111983013107,9.37828306209433,13.707467211766621,95.83203914561689,success,
pair_000026,camera_000026_2025-11-03-14-36-10-355.png,lidar_000026_2025-11-03-14-36-10-363.pcd,113793,10584,4.86020614893858,10.559544197466023,15.287621067741506,90.0228151604121,success,
pair_000027,camera_000027_2025-11-03-14-36-10-460.png,lidar_000027_2025-11-03-14-36-10-463.pcd,112915,10378,4.830369500825156,10.615417526600023,15.384655149720718,89.49377925793767,success,
pair_000028,camera_000028_2025-11-03-14-36-10-564.png,lidar_000028_2025-11-03-14-36-10-563.pcd,112719,10427,4.838041789852058,10.633598627938937,15.49741394390036,89.26919226013143,success,
pair_000029,camera_000029_2025-11-03-14-36-10-669.png,lidar_000029_2025-11-03-14-36-10-663.pcd,112192,10403,4.85594397917033,10.67371710786241,15.509767094806064,88.82794773870496,success,
pair_000030,camera_000030_2025-11-03-14-36-10-807.png,lidar_000030_2025-11-03-14-36-10-813.pcd,111954,10366,4.91646932590678,10.957217553720248,15.861603121493483,88.02447625595983,success,
pair_000031,camera_000031_2025-11-03-14-36-10-913.png,lidar_000031_2025-11-03-14-36-10-913.pcd,110589,9333,4.906239434523976,9.941632160628453,15.340746633961558,87.5369354333314,success,
pair_000032,camera_000032_2025-11-03-14-36-11-016.png,lidar_000032_2025-11-03-14-36-11-013.pcd,109843,9204,4.87922412422822,9.743481204428829,15.260712033972963,86.48481799121875,success,
pair_000033,camera_000033_2025-11-03-14-36-11-121.png,lidar_000033_2025-11-03-14-36-11-113.pcd,110023,9656,4.865214521173716,10.13918976042654,15.48718871465826,84.87249839546821,success,
pair_000034,camera_000034_2025-11-03-14-36-11-954.png,lidar_000034_2025-11-03-14-36-11-963.pcd,107759,9498,4.929256310513249,10.600134331725652,15.087920357373841,81.09667550806638,success,
pair_000035,camera_000035_2025-11-03-14-36-12-059.png,lidar_000035_2025-11-03-14-36-12-063.pcd,107352,9343,4.907944494153302,10.51918183986798,14.923431233855379,81.47310250508644,success,
pair_000036,camera_000036_2025-11-03-14-36-12-164.png,lidar_000036_2025-11-03-14-36-12-163.pcd,108342,9969,4.9446008974756195,11.1489591671737,15.252550085781312,80.7178028169827,success,
pair_000037,camera_000037_2025-11-03-14-36-12-269.png,lidar_000037_2025-11-03-14-36-12-263.pcd,107625,9557,4.900170647841168,10.56930880081878,14.929470581138895,91.62976765845082,success,
pair_000038,camera_000038_2025-11-03-14-36-12-372.png,lidar_000038_2025-11-03-14-36-12-363.pcd,107375,9516,4.889190263233995,10.447778434657362,14.82972098099119,91.20935503515697,success,
pair_000039,camera_000039_2025-11-03-14-36-13-554.png,lidar_000039_2025-11-03-14-36-13-563.pcd,99631,8940,4.8037891904813,9.44922436280784,13.596426948969892,95.89542929346561,success,
pair_000040,camera_000040_2025-11-03-14-36-13-659.png,lidar_000040_2025-11-03-14-36-13-663.pcd,99515,9187,4.7866276310916085,9.586174001315722,13.507496573164044,95.768173937192,success,
pair_000041,camera_000041_2025-11-03-14-36-13-765.png,lidar_000041_2025-11-03-14-36-13-763.pcd,100016,9764,4.790060134691573,10.163200930744033,13.577209642888077,95.47150027601907,success,
pair_000042,camera_000042_2025-11-03-14-36-13-867.png,lidar_000042_2025-11-03-14-36-13-863.pcd,99565,10041,4.798640922844049,10.57512964640161,13.734008074370458,95.2688363184778,success,
pair_000043,camera_000043_2025-11-03-14-36-13-972.png,lidar_000043_2025-11-03-14-36-13-963.pcd,98159,9501,4.826712133536739,10.106170678631393,13.494238142072803,99.44838716234302,success,
pair_000044,camera_000044_2025-11-03-14-36-14-703.png,lidar_000044_2025-11-03-14-36-14-713.pcd,98276,11065,4.853738430151504,11.81899321266574,14.264158892870896,92.49139383671228,success,
pair_000045,camera_000045_2025-11-03-14-36-14-810.png,lidar_000045_2025-11-03-14-36-14-813.pcd,98242,11287,4.849503461725124,12.203311724497109,14.447958769057605,91.89200486138175,success,
pair_000046,camera_000046_2025-11-03-14-36-14-913.png,lidar_000046_2025-11-03-14-36-14-914.pcd,98082,11133,4.859693357710516,11.998806385476435,14.28150943447097,91.23827726910909,success,
pair_000047,camera_000047_2025-11-03-14-36-15-015.png,lidar_000047_2025-11-03-14-36-15-013.pcd,97450,10889,4.87922412422822,11.73775569641468,14.224899508396561,90.47682347192949,success,
pair_000048,camera_000048_2025-11-03-14-36-15-467.png,lidar_000048_2025-11-03-14-36-15-463.pcd,96488,10889,4.86969178761629,11.88915153627765,14.30221515992483,73.85668790552585,success,
pair_000049,camera_000049_2025-11-03-14-36-15-572.png,lidar_000049_2025-11-03-14-36-15-563.pcd,95915,10266,4.897905373075866,11.31571574028007,14.29021704666778,72.78292582327678,success,
pair_000050,camera_000050_2025-11-03-14-36-16-269.png,lidar_000050_2025-11-03-14-36-16-263.pcd,99831,10690,4.794555287801899,11.467671639857599,13.796368670753479,84.03902669611719,success,
pair_000051,camera_000051_2025-11-03-14-36-16-407.png,lidar_000051_2025-11-03-14-36-16-413.pcd,99084,10277,4.817235198619021,10.92029489901306,13.673305631770528,85.83316059375635,success,
pair_000052,camera_000052_2025-11-03-14-36-19-258.png,lidar_000052_2025-11-03-14-36-19-264.pcd,104121,9712,4.9019772647557245,10.279254498018958,12.834044554458997,83.0202620622944,success,
pair_000053,camera_000053_2025-11-03-14-36-19-362.png,lidar_000053_2025-11-03-14-36-19-364.pcd,103857,9609,4.9019772647557245,10.11821881430141,12.739230596500489,82.68459463192315,success,
pair_000054,camera_000054_2025-11-03-14-36-19-468.png,lidar_000054_2025-11-03-14-36-19-464.pcd,103632,9409,4.844009028158199,9.853364404491431,12.496603179808297,90.13319418201957,success,
pair_000055,camera_000055_2025-11-03-14-36-19-606.png,lidar_000055_2025-11-03-14-36-19-614.pcd,103625,9360,4.771549213718031,9.650743866553174,12.563367644155324,77.97935930906289,success,
pair_000056,camera_000056_2025-11-03-14-36-19-712.png,lidar_000056_2025-11-03-14-36-19-714.pcd,104030,9451,4.7561618648016735,9.684818277453076,12.426527493793095,77.56686910523801,success,
